RANK,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VIVersatility ,ORTG,DRTG
,Jarrett Culver,Mem,G-F,22.73,2,7.8,16.3,18.1,0,4,0.75,3,0.667,2,0,0.4,0.518,3.5,1.5,10.2,1,17.7,0,0,0,8.9,130.1,121.1
,Cade Cunningham,Det,G,20.13,5,28.1,58.6,29.3,17.5,14,0.929,38,0.342,36,0.222,0.338,0.393,12.6,5.4,10.4,2.8,17,0.8,0.4,3.4,8.2,78.2,104.2
,Seth Curry,Phi,G,31.22,12,33.6,70,18.2,12.3,24,0.917,69,0.638,63,0.476,0.674,0.701,16.7,3.3,5.3,2.3,10.4,0.58,0.17,1.67,6,125.3,112.9
,Stephen Curry,Gol,G,33.66,11,33.7,70.1,32.1,12.5,59,0.949,77,0.519,141,0.39,0.562,0.617,27.4,6.5,10.1,6.5,32,1.55,0.55,3.18,12.5,119.2,98.2
,Anthony Davis,Lal,F-C,28.67,12,34.9,72.7,29.3,9.9,69,0.739,208,0.538,26,0.154,0.504,0.543,23.9,11.3,16.7,2.8,13.7,1,2.25,2.42,10.4,111.1,103.1
,Ed Davis,Cle,C-F,32.44,2,1.6,3.2,0,,0,0,0,0,0,0,,,0,0.5,17.3,0,0,0,0,0,0,,
,Terence Davis,Sac,G,24.49,9,12.9,26.8,19.9,7.4,0,0,20,0.4,30,0.233,0.37,0.37,4.1,1.4,5.9,0.8,8.4,0.44,0,0.44,5.2,78.1,100.4
,Gabriel Deck,Okc,F,26.76,4,5.4,11.1,17.7,11.3,2,1,5,0.6,2,0.5,0.643,0.698,2.8,0.8,7,0.3,8.3,0.25,0,0.25,6.5,129.7,111.2
,Dewayne Dedmon,Mia,C,32.25,12,13.4,28,16.7,14.4,19,0.789,43,0.558,2,1,0.6,0.647,5.8,5.2,20.7,0.3,3.7,0.33,0.25,0.75,6.2,124.7,86.7
,Sam Dekker,Tor,F,27.52,1,0.9,1.9,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
,DeMar DeRozan,Chi,G-F,32.27,11,35,73,30.4,7.1,83,0.855,185,0.508,26,0.346,0.509,0.578,26,5.8,8.9,3.8,18.7,0.91,0.45,1.73,9.5,117.9,101.9
,Hamidou Diallo,Det,G,23.29,6,12.8,26.7,17,16.3,4,1,16,0.5,8,0.25,0.458,0.505,4.3,1.8,7.7,0.7,8.6,0.5,0.17,0.83,5.5,95,103.8
,Gorgui Dieng,Atl,C,31.82,12,10.5,21.9,13.7,17.3,10,0.6,15,0.4,14,0.286,0.414,0.449,2.5,4.9,25,1,12.5,0.33,0.33,0.58,8.8,107.4,95.2
,Spencer Dinwiddie,Was,G,28.6,10,29.4,61.2,23.9,10.7,28,0.964,78,0.449,52,0.365,0.488,0.541,15.4,5,9,5.7,30.5,0.3,0.2,1.7,10.3,114.1,101.4
