RANK,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VIVersatility ,ORTG,DRTG
,Devin Vassell,San,G-F,21.22,11,25.8,53.8,18.7,7.2,12,0.667,58,0.517,53,0.377,0.541,0.55,11.6,4.2,8.5,1.7,9.2,1.27,0.64,0.82,6.8,107.8,99.1
,Gabe Vincent,Mia,G,25.41,10,8.9,18.6,13,22.3,2,1,9,0.778,11,0.091,0.425,0.455,1.9,0.8,4.8,1.7,25.7,0.2,0,0.6,6.2,101.9,98.2
,Nikola Vucevic,Chi,C,31.05,11,34.1,71.1,21.3,8.8,19,0.737,112,0.446,45,0.267,0.433,0.454,13.6,10.9,17.2,4.4,18.7,1.18,0.91,1.45,10.2,101.5,97.9
,Dean Wade,Cle,F-C,24.98,9,16,33.4,10.6,5.7,0,0,11,0.727,22,0.273,0.515,0.515,3.8,2.8,9.3,1,8.7,0.67,0,0.22,5.5,114.3,97.9
,Franz Wagner,Orl,F,20.21,12,31.8,66.2,18,8.2,16,0.75,81,0.531,58,0.362,0.536,0.551,13.4,3.8,6.4,2,10.7,1.5,0.5,1.08,5.9,111.5,107.3
,Moritz Wagner,Orl,F-C,24.55,11,11,23,20,12.5,14,0.5,12,0.5,31,0.355,0.523,0.529,4.7,2.5,12.3,0.5,6.7,0,0.18,0.64,6.6,98.1,95.2
,Lonnie Walker IV,San,G-F,22.91,11,23.9,49.9,22,11,18,0.833,51,0.49,63,0.349,0.509,0.537,11.9,2.9,6.4,2.6,15.1,0.73,0.36,1.36,7.5,102.8,104.9
,Kemba Walker,Nyk,G,31.52,11,25.7,53.6,19.7,11.8,12,0.75,44,0.386,63,0.429,0.537,0.552,11.3,2.7,5.6,3.1,18,1.18,0.27,1.36,7.1,108.8,111.1
,Brad Wanamaker,Ind,G,32.3,7,13.6,28.3,17.1,31.9,6,0.667,16,0.188,7,0.429,0.326,0.371,2.7,1.9,7.5,2.7,25.4,0,0.71,1.71,7.1,77.9,101.7
,Duane Washington Jr.,Ind,G,21.64,2,2.2,4.6,29.5,0,0,0,1,1,2,0.5,0.833,0.833,2.5,0.5,12.5,0,0,0,0,0,0,,
,P.J. Washington,Cha,F,23.22,7,21.1,44,19.3,13,14,0.786,32,0.531,22,0.364,0.537,0.573,9.9,4.6,11.2,1.4,9.7,0.71,1,1.29,7.6,111.5,111.3
,Russell Westbrook,Lal,G,33,12,36.3,75.6,29.5,20.8,55,0.655,169,0.456,50,0.28,0.447,0.477,19.3,9.1,13,8.9,37.2,1.5,0.25,5.33,12.8,94.8,99.6
,Derrick White,San,G,27.36,11,31.7,65.9,17.9,11.6,25,0.76,67,0.433,52,0.308,0.445,0.481,11.4,3.5,5.8,5.6,22.9,1.18,1,1.55,7.7,103.4,103.3
,Hassan Whiteside,Uta,C,32.42,12,16.6,34.5,18.5,17.6,21,0.714,61,0.59,0,0,0.59,0.619,7.3,7.8,25.5,0.3,3.1,0.25,1.42,1.25,6.2,117.8,84.5
,Joe Wieskamp,San,G-F,22.22,1,3.2,6.7,13.2,0,0,0,0,0,1,1,1.5,1.5,3,0,0,0,0,0,0,0,0,,
,Andrew Wiggins,Gol,F,26.72,11,29.4,61.2,24.2,9.8,35,0.829,93,0.548,57,0.351,0.54,0.577,17.4,4.3,7.7,1.5,7.7,0.91,0.27,1.64,6.6,110,99.8
,Robert Williams III,Bos,C-F,24.07,10,31.2,65,11.9,12.9,21,0.571,65,0.723,0,0,0.723,0.714,10.6,8.9,15.2,1.2,6,1.2,1.8,1.1,6.2,142.1,104.6
,Grant Williams,Bos,F,22.95,11,17.4,36.2,13.1,10.5,14,0.857,15,0.667,30,0.367,0.589,0.635,5.9,2.5,7.5,1,8.4,0.18,0.36,0.55,5.6,125,103.9
,Kenrich Williams,Okc,G-F,26.95,10,21.6,45,15.5,12.8,12,0.583,39,0.436,24,0.333,0.46,0.476,6.5,3.7,8.5,1.2,8.8,0.4,0.3,1,5.7,94.9,103.5
,Lou Williams,Atl,G,35.04,8,11.1,23.2,24.1,6,9,1,32,0.344,11,0.273,0.36,0.426,5,1.4,6.6,1.1,14.8,0.63,0.25,0.38,7.1,95.4,109
,Patrick Williams,Chi,F,20.21,5,24.9,52,9.4,7.5,4,1,17,0.588,6,0.5,0.63,0.666,6.6,2.2,4.7,0.6,3.2,0.6,0.4,0.4,3.3,127.2,102.6
,Ziaire Williams,Mem,F,20.17,9,18.4,38.3,15.9,12.7,2,1,14,0.357,40,0.325,0.454,0.465,5.7,1.4,4.2,0.6,4.1,0.78,0.44,0.89,3.7,90.4,110
,Dylan Windler,Cle,G-F,25.14,8,10.3,21.4,13.7,7.7,2,1,8,0.625,15,0.467,0.674,0.691,4.1,1.5,7.8,1,14.5,0.25,0,0.25,7.1,137.2,104.8
,Justise Winslow,Lac,F-G,25.63,10,8.4,17.4,21.1,29.4,2,0.5,23,0.435,5,0,0.357,0.364,2.1,2,12.3,0.8,13.4,0.4,0.4,1.2,7.1,66.4,92.9
,Christian Wood,Hou,F,26.13,11,33.8,70.4,22.4,10.5,51,0.529,99,0.515,57,0.386,0.538,0.546,17.7,11.5,18.1,2.3,11.6,0.91,0.82,1.91,9.2,107.3,100
,McKinley Wright IV,Min,G,23.05,1,4.1,8.5,20.1,50,0,0,0,0,1,1,1.5,1.5,3,0,0,0,0,0,0,1,0,70.5,123.2
,Delon Wright,Atl,G,29.55,10,11,23,13.4,17.4,8,0.875,16,0.438,9,0.111,0.34,0.421,2.4,2.4,11.6,2,23.6,0.5,0,0.6,8.2,107.3,112.4
,Thaddeus Young,San,F,33.39,8,17.7,36.8,18,20,7,0.429,43,0.674,2,0,0.644,0.634,7.6,4.4,13.1,3.5,28.3,1.13,0.88,1.5,11.1,121.6,98.8
,Trae Young,Atl,G,23.15,12,34.7,72.3,32.2,14.1,63,0.905,166,0.47,75,0.333,0.479,0.536,24,3.3,5,9.3,44.9,0.83,0.17,3.67,10.4,110.5,114
,Omer Yurtseven,Mia,C,23.4,8,3.3,7,24.1,6.7,2,0.5,13,0.615,0,0,0.615,0.612,2.1,1,16.1,0,0,0,0,0.13,0,,
,Cody Zeller,Por,F-C,29.1,12,15.1,31.4,15.1,17.3,31,0.71,35,0.629,4,0,0.564,0.627,5.5,5.3,18.8,0.9,8.3,0.42,0.17,0.92,7.9,128,94.8
,Ivica Zubac,Lac,C,24.66,11,24.3,50.6,14.5,8.9,45,0.711,62,0.661,0,0,0.661,0.697,10.4,7.5,15.8,1.3,7.7,0.45,0.82,0.73,7.7,143.2,96.2
